% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
100.00    0.425369        2659       160           wait4
  0.00    0.000000           0      2112           read
  0.00    0.000000           0      2089           write
  0.00    0.000000           0       323           close
  0.00    0.000000           0       320           stat
  0.00    0.000000           0      2193           fstat
  0.00    0.000000           0      4204           lseek
  0.00    0.000000           0       805           mmap
  0.00    0.000000           0       644           mprotect
  0.00    0.000000           0       161           munmap
  0.00    0.000000           0       483           brk
  0.00    0.000000           0      2080           rt_sigaction
  0.00    0.000000           0       480           rt_sigprocmask
  0.00    0.000000           0         2           ioctl
  0.00    0.000000           0       483       483 access
  0.00    0.000000           0       160           getpid
  0.00    0.000000           0       160           clone
  0.00    0.000000           0       161           execve
  0.00    0.000000           0       160           getuid
  0.00    0.000000           0       160           getgid
  0.00    0.000000           0       320           geteuid
  0.00    0.000000           0       160           getegid
  0.00    0.000000           0       160           getppid
  0.00    0.000000           0       161           arch_prctl
  0.00    0.000000           0         1           time
  0.00    0.000000           0       323           openat
------ ----------- ----------- --------- --------- ----------------
100.00    0.425369                 18465       483 total
